下界 (げかい)
外科医 (げかい)
外界 (げかい)
下宿 (げしゅく)
下足箱 (げそくばこ)
月次 (げつじ)
下品 (げひん)
下落 (げらく)
元号 (げんごう)
原始 (げんし)
原酒 (げんしゅ)
原題 (げんだい)
原動 (げんどう)
言動 (げんどう)
原動力 (げんどうりょく)
原発 (げんぱつ)
原油 (げんゆ)
公安 (こうあん)
校医 (こうい)
工員 (こういん)
行員 (こういん)
幸運 (こううん)
公役 (こうえき)
高温 (こうおん)
公開 (こうかい)
光化学 (こうかがく)
交感 (こうかん)
向学 (こうがく)
工学部 (こうがくぶ)
後期 (こうき)
工期 (こうき)
後宮 (こうきゅう)
高級 (こうきゅう)
工業 (こうぎょう)
校区 (こうく)
工具 (こうぐ)
公庫 (こうこ)
公使 (こうし)
行使 (こうし)
公式 (こうしき)
後者 (こうしゃ)
向暑 (こうしょ)
高所 (こうしょ)
校章 (こうしょう)
後進 (こうしん)
行進 (こうしん)
高進 (こうしん)
工事 (こうじ)
高次 (こうじ)
小路 (こうじ)
口実 (こうじつ)
向上 (こうじょう)
後世 (こうせい)
後送 (こうそう)
光速 (こうそく)
高速 (こうそく)
交代 (こうたい)
高調波 (こうちょうは)
公定 (こうてい)
校庭 (こうてい)
公転 (こうてん)
高等 (こうとう)
後頭部 (こうとうぶ)
高度 (こうど)
行動 (こうどう)
港内 (こうない)
光波 (こうは)
高配 (こうはい)
公表 (こうひょう)
幸福 (こうふく)
後部 (こうぶ)
公平 (こうへい)
交遊 (こうゆう)
公有 (こうゆう)
交流 (こうりゅう)
後列 (こうれつ)
小気味よ (こぎみよ)
国庫 (こくこ)
国事 (こくじ)
国定 (こくてい)
黒板 (こくばん)
国有 (こくゆう)
九十路 (ここのそじ)
心意気 (こころいき)
心根 (こころね)
心待ち (こころまち)
心持ち (こころもち)
古式 (こしき)
戸主 (こしゅ)
小島 (こじま)
湖水 (こすい)
子育て (こそだて)
古代 (こだい)
国庫 (こっこ)
古都 (こと)
事細か (ことこまか)
事足り (ことたり)
言葉 (ことば)
小道具 (こどうぐ)
小鼻 (こばな)
小路 (こみち)
子持 (こもち)
子持ち (こもち)
小物 (こもの)
子守 (こもり)
小屋 (こや)
小指 (こゆび)
今期 (こんき)
根気 (こんき)
根号 (こんごう)
今昔 (こんじゃく)
今度 (こんど)
今年度 (こんねんど)
根本 (こんぽん)
根毛 (こんもう)
語意 (ごい)
合意 (ごうい)
号外 (ごうがい)
号数 (ごうすう)
合板 (ごうはん)
合筆 (ごうひつ)
合流 (ごうりゅう)
ご家族 (ごかぞく)
ご家庭 (ごかてい)
語感 (ごかん)
ご期待 (ごきたい)
ご高配 (ごこうはい)
ご主人 (ごしゅじん)
ご使用 (ごしよう)
五重 (ごじゅう)
ご住所 (ごじゅうしょ)
ご相談 (ごそうだん)
ご注意 (ごちゅうい)
ご注文 (ごちゅうもん)
語調 (ごちょう)
ご都合 (ごつごう)
ご返事 (ごへんじ)
ご返送 (ごへんそう)
ご用命 (ごようめい)
ご両親 (ごりょうしん)
祭日 (さいじつ)
細部 (さいぶ)
祭礼 (さいれい)
酒場 (さかば)
坂道 (さかみち)
酒屋 (さかや)
先送り (さきおくり)
先様 (さきさま)
先取り (さきどり)
先物 (さきもの)
作業 (さぎょう)
作業着 (さぎょうぎ)
作意 (さくい)
作者 (さくしゃ)
作事 (さくじ)
作表 (さくひょう)
作品 (さくひん)
作物 (さくもつ)
指図 (さしず)
流石 (さすが)
流石 (さすが)
早急 (さっきゅう)
作曲 (さっきょく)
早速 (さっそく)
