現金 (げんきん)
現業 (げんぎょう)
現行 (げんこう)
現行犯 (げんこうはん)
減殺 (げんさい)
減産 (げんさん)
原罪 (げんざい)
現在 (げんざい)
減算 (げんざん)
減資 (げんし)
減少 (げんしょう)
現象 (げんしょう)
減食 (げんしょく)
現職 (げんしょく)
現示 (げんじ)
現実 (げんじつ)
現実味 (げんじつみ)
現時点 (げんじてん)
現住所 (げんじゅうしょ)
原状 (げんじょう)
現状 (げんじょう)
減水 (げんすい)
減数 (げんすう)
現世 (げんせ)
減税 (げんぜい)
元素 (げんそ)
現送 (げんそう)
原則 (げんそく)
減速 (げんそく)
減損 (げんそん)
現像 (げんぞう)
減退 (げんたい)
減反 (げんたん)
現代 (げんだい)
現代人 (げんだいじん)
現地 (げんち)
言質 (げんち)
限定 (げんてい)
限定版 (げんていばん)
減点 (げんてん)
限度 (げんど)
現任 (げんにん)
現場 (げんば)
減配 (げんぱい)
現品 (げんぴん)
現物 (げんぶつ)
現有 (げんゆう)
現用 (げんよう)
減量 (げんりょう)
限量子 (げんりょうし)
故意 (こい)
高圧 (こうあつ)
厚意 (こうい)
後衛 (こうえい)
公営 (こうえい)
交易 (こうえき)
公益 (こうえき)
公演 (こうえん)
好演 (こうえん)
講演 (こうえん)
効果 (こうか)
高価 (こうか)
構外 (こうがい)
高額 (こうがく)
厚顔 (こうがん)
講究 (こうきゅう)
広義 (こうぎ)
講義 (こうぎ)
興業 (こうぎょう)
興行 (こうぎょう)
鉱業 (こうぎょう)
航空券 (こうくうけん)
高潔 (こうけつ)
高血圧 (こうけつあつ)
考査 (こうさ)
交際 (こうさい)
耕作 (こうさく)
鉱産 (こうさん)
鉱山 (こうざん)
格子 (こうし)
厚志 (こうし)
講師 (こうし)
格子戸 (こうしど)
校舎 (こうしゃ)
講習 (こうしゅう)
講習会 (こうしゅうかい)
公証 (こうしょう)
考証 (こうしょう)
交織 (こうしょく)
公職 (こうしょく)
興信所 (こうしんじょ)
公示 (こうじ)
口授 (こうじゅ)
後述 (こうじゅつ)
口述 (こうじゅつ)
講述 (こうじゅつ)
公準 (こうじゅん)
公序 (こうじょ)
厚情 (こうじょう)
高水準 (こうすいじゅん)
構図 (こうず)
厚生 (こうせい)
向性 (こうせい)
構成 (こうせい)
構成員 (こうせいいん)
好成績 (こうせいせき)
高性能 (こうせいのう)
功績 (こうせき)
鉱石 (こうせき)
構想 (こうそう)
校則 (こうそく)
構造 (こうぞう)
構造化 (こうぞうか)
