七難 (しちなん)
思潮 (しちょう)
支庁 (しちょう)
失敬 (しっけい)
失敬 (しっけい)
失権 (しっけん)
失策 (しっさく)
止痛 (しつう)
質疑 (しつぎ)
視程 (してい)
私的 (してき)
至適 (してき)
私鉄 (してつ)
視点 (してん)
私道 (しどう)
至難 (しなん)
視認 (しにん)
紙背 (しはい)
私服 (しふく)
私腹 (しふく)
至福 (しふく)
私物 (しぶつ)
至便 (しべん)
至宝 (しほう)
死亡 (しぼう)
誌面 (しめん)
下座 (しもざ)
社外秘 (しゃがいひ)
尺取虫 (しゃくとりむし)
尺度 (しゃくど)
尺八 (しゃくはち)
射殺 (しゃさつ)
射出 (しゃしゅつ)
捨象 (しゃしょう)
射精 (しゃせい)
車窓 (しゃそう)
社宅 (しゃたく)
射程 (しゃてい)
射的 (しゃてき)
視野 (しや)
拾遺 (しゅうい)
衆院 (しゅういん)
収益 (しゅうえき)
就役 (しゅうえき)
週刊誌 (しゅうかんし)
就学 (しゅうがく)
宗教 (しゅうきょう)
宗教法人 (しゅうきょうほうじん)
就業 (しゅうぎょう)
集権 (しゅうけん)
就航 (しゅうこう)
衆参 (しゅうさん)
収支 (しゅうし)
収拾 (しゅうしゅう)
収集 (しゅうしゅう)
収縮 (しゅうしゅく)
就職 (しゅうしょく)
習熟 (しゅうじゅく)
終助詞 (しゅうじょし)
衆人 (しゅうじん)
収束 (しゅうそく)
収得 (しゅうとく)
収入 (しゅうにゅう)
就任 (しゅうにん)
収納 (しゅうのう)
宗派 (しゅうは)
衆望 (しゅうぼう)
終幕 (しゅうまく)
衆目 (しゅうもく)
収容 (しゅうよう)
収用 (しゅうよう)
収量 (しゅうりょう)
就労 (しゅうろう)
収録 (しゅうろく)
修論 (しゅうろん)
守旧派 (しゅきゅうは)
縮刷 (しゅくさつ)
縮写 (しゅくしゃ)
縮尺 (しゅくしゃく)
縮小 (しゅくしょう)
縮図 (しゅくず)
縮退 (しゅくたい)
縮約 (しゅくやく)
主権 (しゅけん)
取捨 (しゅしゃ)
主将 (しゅしょう)
主従 (しゅじゅう)
衆生 (しゅじょう)
手段 (しゅだん)
主潮 (しゅちょう)
出勤 (しゅっきん)
出処 (しゅっしょ)
出展 (しゅってん)
首脳 (しゅのう)
首班 (しゅはん)
守秘 (しゅひ)
酒乱 (しゅらん)
春暖 (しゅんだん)
私有 (しゆう)
私有地 (しゆうち)
諸悪 (しょあく)
署員 (しょいん)
小異 (しょうい)
将官 (しょうかん)
傷害 (しょうがい)
障害 (しょうがい)
小規模 (しょうきぼ)
将軍 (しょうぐん)
将校 (しょうこう)
照射 (しょうしゃ)
小縮尺 (しょうしゅくしゃく)
少将 (しょうしょう)
傷心 (しょうしん)
障子 (しょうじ)
装束 (しょうぞく)
小著 (しょうちょ)
省庁 (しょうちょう)
少納言 (しょうなごん)
承認 (しょうにん)
笑納 (しょうのう)
傷病 (しょうびょう)
将兵 (しょうへい)
焼亡 (しょうぼう)
消防署 (しょうぼうしょ)
照葉樹林 (しょうようじゅりん)
将来 (しょうらい)
照覧 (しょうらん)
笑覧 (しょうらん)
書簡 (しょかん)
諸行 (しょぎょう)
諸行無常 (しょぎょうむじょう)
食傷 (しょくしょう)
植樹 (しょくじゅ)
諸口 (しょくち)
食欲 (しょくよく)
諸君 (しょくん)
諸兄 (しょけい)
諸元 (しょげん)
諸国 (しょこく)
諸氏 (しょし)
諸式 (しょしき)
所収 (しょしゅう)
処暑 (しょしょ)
諸処 (しょしょ)
諸事 (しょじ)
処女 (しょじょ)
処世 (しょせい)
処世訓 (しょせいくん)
諸説 (しょせつ)
諸税 (しょぜい)
諸相 (しょそう)
所蔵 (しょぞう)
所存 (しょぞん)
初段 (しょだん)
処置 (しょち)
初潮 (しょちょう)
署長 (しょちょう)
職権 (しょっけん)
諸島 (しょとう)
諸表 (しょひょう)
処分 (しょぶん)
処方 (しょほう)
諸方 (しょほう)
署名 (しょめい)
処理 (しょり)
私用 (しよう)
私欲 (しよく)
私利 (しり)
私立 (しりつ)
視力 (しりょく)
白砂糖 (しろざとう)
城山 (しろやま)
史論 (しろん)
私論 (しろん)
仕訳 (しわけ)
新株 (しんかぶ)
心筋 (しんきん)
真紅 (しんく)
神経痛 (しんけいつう)
親権 (しんけん)
深呼吸 (しんこきゅう)
深刻 (しんこく)
真骨頂 (しんこっちょう)
身障者 (しんしょうしゃ)
神聖 (しんせい)
親善 (しんぜん)
深層 (しんそう)
深窓 (しんそう)
心臓 (しんぞう)
新体操 (しんたいそう)
心痛 (しんつう)
親展 (しんてん)
進展 (しんてん)
新党 (しんとう)
親日派 (しんにちは)
新派 (しんぱ)
真否 (しんぴ)
神秘 (しんぴ)
心棒 (しんぼう)
親密 (しんみつ)
時間割 (じかんわり)
自我 (じが)
磁器 (じき)
磁気 (じき)
自供 (じきょう)
磁極 (じきょく)
自己 (じこ)
時刻 (じこく)
磁石 (じしゃく)
自署 (じしょ)
磁針 (じしん)
自若 (じじゃく)
次善 (じぜん)
自存 (じそん)
自尊 (じそん)
地蔵 (じぞう)
自宅 (じたく)
時代劇 (じだいげき)
次段 (じだん)
十干 (じっかん)
実権 (じっけん)
実視 (じっし)
実収 (じっしゅう)
実装 (じっそう)
実存 (じつぞん)
自動詞 (じどうし)
自認 (じにん)
字幕 (じまく)
弱視 (じゃくし)
若年 (じゃくねん)
若干 (じゃっかん)
砂利 (じゃり)
縦横 (じゅうおう)
従業員 (じゅうぎょういん)
重軽傷 (じゅうけいしょう)
重視 (じゅうし)
重傷 (じゅうしょう)
従事 (じゅうじ)
従順 (じゅうじゅん)
従前 (じゅうぜん)
縦走 (じゅうそう)
重奏 (じゅうそう)
従属 (じゅうぞく)
住宅 (じゅうたく)
住宅街 (じゅうたくがい)
住宅地 (じゅうたくち)
縦断 (じゅうだん)
重要視 (じゅうようし)
従来 (じゅうらい)
縦覧 (じゅうらん)
従量税 (じゅうりょうぜい)
縦列 (じゅうれつ)
樹海 (じゅかい)
熟考 (じゅくこう)
熟語 (じゅくご)
熟字訓 (じゅくじくん)
熟成 (じゅくせい)
熟達 (じゅくたつ)
熟知 (じゅくち)
熟読 (じゅくどく)
熟年 (じゅくねん)
熟練 (じゅくれん)
受難 (じゅなん)
授乳 (じゅにゅう)
受納 (じゅのう)
樹皮 (じゅひ)
樹氷 (じゅひょう)
樹木 (じゅもく)
樹立 (じゅりつ)
純愛 (じゅんあい)
純一 (じゅんいつ)
純益 (じゅんえき)
順延 (じゅんえん)
純化 (じゅんか)
純金 (じゅんきん)
純潔 (じゅんけつ)
