大分 (だいぶん)
台本 (だいほん)
大門 (だいもん)
大理石 (だいりせき)
男声 (だんせい)
地下 (ちか)
地下室 (ちかしつ)
近場 (ちかば)
近道 (ちかみち)
力強 (ちからづよ)
地学 (ちがく)
地形 (ちけい)
知見 (ちけん)
地上 (ちじょう)
知人 (ちじん)
地図 (ちず)
父親 (ちちおや)
地中 (ちちゅう)
地点 (ちてん)
千鳥 (ちどり)
地番 (ちばん)
地方 (ちほう)
知名 (ちめい)
地名 (ちめい)
茶色 (ちゃいろ)
茶番 (ちゃばん)
中間 (ちゅうかん)
中間子 (ちゅうかんし)
中元 (ちゅうげん)
中古 (ちゅうこ)
中高生 (ちゅうこうせい)
中高年 (ちゅうこうねん)
中止 (ちゅうし)
昼食 (ちゅうしょく)
中心 (ちゅうしん)
中点 (ちゅうてん)
中風 (ちゅうぶう)
中門 (ちゅうもん)
昼夜 (ちゅうや)
長音 (ちょうおん)
朝会 (ちょうかい)
町会 (ちょうかい)
長考 (ちょうこう)
長子 (ちょうし)
朝食 (ちょうしょく)
長時間 (ちょうじかん)
長女 (ちょうじょ)
長大 (ちょうだい)
町長 (ちょうちょう)
町内 (ちょうない)
長男 (ちょうなん)
長文 (ちょうぶん)
長方形 (ちょうほうけい)
鳥目 (ちょうもく)
直後 (ちょくご)
直線 (ちょくせん)
直前 (ちょくぜん)
直通 (ちょくつう)
直答 (ちょくとう)
直売 (ちょくばい)
直方体 (ちょくほうたい)
直立 (ちょくりつ)
直下 (ちょっか)
直角 (ちょっかく)
直帰 (ちょっき)
直交 (ちょっこう)
直行 (ちょっこう)
地理 (ちり)
通園 (つうえん)
通学 (つうがく)
通気 (つうき)
通行 (つうこう)
通行止 (つうこうどめ)
通算 (つうさん)
通時 (つうじ)
通知 (つうち)
通電 (つうでん)
通読 (つうどく)
通風 (つうふう)
通用 (つうよう)
通話 (つうわ)
月切 (つきぎり)
月切り (つきぎり)
月夜 (つきよ)
通夜 (つや)
強気 (つよき)
