心残り (こころのこり)
古参 (こさん)
固守 (こしゅ)
固持 (こじ)
固辞 (こじ)
固体 (こたい)
固着 (こちゃく)
国旗 (こっき)
小包 (こづつみ)
固定 (こてい)
古典 (こてん)
言挙げ (ことあげ)
事欠 (ことか)
言付け (ことづけ)
言付け (ことづけ)
この上無 (このうえな)
小節 (こぶし)
戸別 (こべつ)
小松 (こまつ)
小麦粉 (こむぎこ)
小結 (こむすび)
固有 (こゆう)
小料理 (こりょうり)
これ以上 (これいじょう)
古老 (ころう)
根菜 (こんさい)
根治 (こんじ)
根治 (こんち)
根底 (こんてい)
金堂 (こんどう)
建立 (こんりゅう)
ご愛用 (ごあいよう)
ご案内 (ごあんない)
号泣 (ごうきゅう)
合議 (ごうぎ)
合成 (ごうせい)
合法 (ごうほう)
号令 (ごうれい)
ご栄転 (ごえいてん)
ご希望 (ごきぼう)
ご協力 (ごきょうりょく)
極悪 (ごくあく)
極意 (ごくい)
極上 (ごくじょう)
極楽 (ごくらく)
ご苦労 (ごくろう)
ご苦労さま (ごくろうさま)
ご欠席 (ごけっせき)
ご健勝 (ごけんしょう)
ご好意 (ごこうい)
ご参加 (ごさんか)
ご参列 (ごさんれつ)
ご出席 (ごしゅっせき)
ご照会 (ごしょうかい)
ご自愛 (ごじあい)
語順 (ごじゅん)
ご清栄 (ごせいえい)
ご清勝 (ごせいしょう)
ご送付 (ごそうふ)
ご足労 (ごそくろう)
ご放念 (ごほうねん)
語末 (ごまつ)
ご利用 (ごりよう)
五輪 (ごりん)
語録 (ごろく)
最愛 (さいあい)
最悪 (さいあく)
最右 (さいう)
菜園 (さいえん)
最下 (さいか)
才覚 (さいかく)
最急 (さいきゅう)
最強 (さいきょう)
最近 (さいきん)
最古 (さいこ)
最高 (さいこう)
最期 (さいご)
最後 (さいご)
最終 (さいしゅう)
最終回 (さいしゅうかい)
最初 (さいしょ)
最小 (さいしょう)
最少 (さいしょう)
菜食 (さいしょく)
最新 (さいしん)
最上 (さいじょう)
最上 (さいじょう)
最前 (さいぜん)
最前線 (さいぜんせん)
最多 (さいた)
最短 (さいたん)
最大 (さいだい)
最中 (さいちゅう)
最長 (さいちょう)
最低 (さいてい)
祭典 (さいてん)
最年少 (さいねんしょう)
最年長 (さいねんちょう)
細民 (さいみん)
最良 (さいりょう)
左官 (さかん)
昨日 (さくじつ)
作成 (さくせい)
作戦 (さくせん)
作付 (さくつけ)
昨冬 (さくとう)
昨年 (さくねん)
昨年度 (さくねんど)
昨夜 (さくや)
作例 (さくれい)
差入れ (さしいれ)
差金 (さしがね)
差出人 (さしだしにん)
差止め (さしどめ)
差引 (さしひ)
差引 (さしひき)
差水 (さしみず)
差向い (さしむかい)
左折 (させつ)
殺気 (さっき)
昨今 (さっこん)
刷新 (さっしん)
察知 (さっち)
殺意 (さつい)
殺害 (さつがい)
殺人 (さつじん)
差配 (さはい)
茶飯事 (さはんじ)
差分 (さぶん)
左辺 (さへん)
差別 (さべつ)
作法 (さほう)
様変り (さまがわり)
様変わり (さまがわり)
参院 (さんいん)
産院 (さんいん)
参加 (さんか)
参会 (さんかい)
散会 (さんかい)
参画 (さんかく)
参加者 (さんかしゃ)
参観 (さんかん)
産休 (さんきゅう)
産業 (さんぎょう)
参宮 (さんぐう)
産気 (さんけ)
散見 (さんけん)
参考 (さんこう)
参考書 (さんこうしょ)
産後 (さんご)
山菜 (さんさい)
参集 (さんしゅう)
産出 (さんしゅつ)
三唱 (さんしょう)
参照 (さんしょう)
参事 (さんじ)
産児 (さんじ)
参上 (さんじょう)
散水 (さんすい)
山積 (さんせき)
参戦 (さんせん)
産大 (さんだい)
産地 (さんち)
参道 (さんどう)
参入 (さんにゅう)
散発 (さんぱつ)
産物 (さんぶつ)
散文 (さんぶん)
散歩 (さんぽ)
三位 (さんみ)
山脈 (さんみゃく)
産油 (さんゆ)
参列 (さんれつ)
材木 (ざいもく)
材料 (ざいりょう)
残金 (ざんきん)
残業 (ざんぎょう)
残暑 (ざんしょ)
残照 (ざんしょう)
残雪 (ざんせつ)
残高 (ざんだか)
残念 (ざんねん)
残飯 (ざんぱん)
残品 (ざんぴん)
残部 (ざんぶ)
試合 (しあい)
思案 (しあん)
四囲 (しい)
試飲 (しいん)
試運転 (しうんてん)
塩気 (しおけ)
塩水 (しおみず)
塩焼 (しおやき)
司会 (しかい)
仕官 (しかん)
士官 (しかん)
市街 (しがい)
史学 (しがく)
四季 (しき)
式辞 (しきじ)
式典 (しきてん)
司教 (しきょう)
市議 (しぎ)
試験 (しけん)
試験管 (しけんかん)
試験場 (しけんじょう)
試行 (しこう)
司祭 (しさい)
試作 (しさく)
四散 (しさん)
試算 (しさん)
試算 (しさん)
試写 (ししゃ)
司書 (ししょ)
試食 (ししょく)
史上 (しじょう)
試乗 (しじょう)
死生観 (しせいかん)
使節 (しせつ)
自然 (しぜん)
試走 (しそう)
子孫 (しそん)
士族 (しぞく)
氏族 (しぞく)
下積み (したづみ)
下働き (したばたらき)
司直 (しちょく)
失火 (しっか)
失笑 (しっしょう)
失神 (しっしん)
失速 (しっそく)
失調 (しっちょう)
失点 (しってん)
失敗 (しっぱい)
失意 (しつい)
失業 (しつぎょう)
仕付け (しつけ)
失言 (しつげん)
失念 (しつねん)
失望 (しつぼう)
失明 (しつめい)
失礼 (しつれい)
失礼 (しつれい)
指定席 (していせき)
史的 (してき)
詩的 (してき)
使徒 (しと)
思念 (しねん)
市費 (しひ)
指標 (しひょう)
死別 (しべつ)
司法 (しほう)
司法書士 (しほうしょし)
始末 (しまつ)
清水 (しみず)
市民 (しみん)
氏名 (しめい)
試問 (しもん)
借地 (しゃくち)
借用 (しゃくよう)
社史 (しゃし)
車種 (しゃしゅ)
社説 (しゃせつ)
借金 (しゃっきん)
借景 (しゃっけい)
社費 (しゃひ)
車輪 (しゃりん)
社歴 (しゃれき)
試薬 (しやく)
首位 (しゅい)
周囲 (しゅうい)
周回 (しゅうかい)
周期 (しゅうき)
週給 (しゅうきゅう)
終結 (しゅうけつ)
集結 (しゅうけつ)
祝言 (しゅうげん)
周航 (しゅうこう)
集散 (しゅうさん)
周章 (しゅうしょう)
集成 (しゅうせい)
集積 (しゅうせき)
終戦 (しゅうせん)
集束 (しゅうそく)
集大成 (しゅうたいせい)
周知 (しゅうち)
拾得 (しゅうとく)
習得 (しゅうとく)
周年 (しゅうねん)
周波 (しゅうは)
周波数 (しゅうはすう)
周辺 (しゅうへん)
焼売 (しゅうまい)
終末 (しゅうまつ)
週末 (しゅうまつ)
集約 (しゅうやく)
周遊 (しゅうゆう)
秋冷 (しゅうれい)
集録 (しゅうろく)
主観 (しゅかん)
祝意 (しゅくい)
宿願 (しゅくがん)
祝勝 (しゅくしょう)
祝辞 (しゅくじ)
祝日 (しゅくじつ)
祝典 (しゅくてん)
祝電 (しゅくでん)
祝福 (しゅくふく)
宿望 (しゅくぼう)
手芸 (しゅげい)
主菜 (しゅさい)
取材 (しゅざい)
種子 (しゅし)
主唱 (しゅしょう)
主辞 (しゅじ)
主治医 (しゅじい)
主席 (しゅせき)
